Symbol,Price~,Type,Strike,Expires,DTE,"Bid x Size","Ask x Size",Trade,Size,Side,Premium,Volume,"Open Int",IV,Delta,Code,*,Time
BRK.B,487.92,Call,300,2026-06-18T16:30:00-05:00,10,"186.35 x 199","189.20 x 35",187.8,4000,mid,75120000,4746,6319,0.00%,0,MFSL,N/A,"14:29:27 ET"
MSTR,126.195,Call,125,2026-08-21T16:30:00-05:00,74,"19.35 x 235","20.15 x 71",19.3,29425,bid,56790200,29665,644,83.53%,0.59227581726557,MLFT,SellToOpen,"10:27:57 ET"
MSTR,127.71,Call,125,2026-08-21T16:30:00-05:00,74,"20.10 x 475","21.50 x 297",20.1,22040,bid,44300400,51756,644,84.18%,0.60488146643324,MLFT,N/A,"11:26:02 ET"
BRK.B,487.92,Call,330,2028-01-21T16:30:00-06:00,592,"185.30 x 92","189.00 x 31",187,2000,mid,37400000,5170,10164,30.77%,0.91208039262577,MFSL,N/A,"14:29:27 ET"
TSLA,403.9,Call,400,2028-12-15T16:30:00-06:00,921,"149.00 x 1","149.70 x 19",149,2000,bid,29800000,2071,4146,53.73%,0.71233798512865,MLCT,N/A,"10:57:41 ET"
MU,956.5008,Put,1280,2028-06-16T16:30:00-05:00,739,"624.10 x 140","640.00 x 103",633.28,450,mid,28497600,594,123,86.58%,-0.3512424533,MLET,ToOpen,"11:12:11 ET"
COIN,160.6633,Call,160,2026-08-21T16:30:00-05:00,74,"22.85 x 45","23.40 x 51",23.4,10990,ask,25716500,10998,503,77.79%,0.58256932538408,MLFT,BuyToOpen,"10:36:08 ET"
MU,956.5008,Put,1060,2028-06-16T16:30:00-05:00,739,"462.15 x 150","478.00 x 161",468.87,450,mid,21099100,594,21,86.40%,-0.2906486653,MLET,ToOpen,"11:12:11 ET"
MU,956.5008,Put,1040,2028-06-16T16:30:00-05:00,739,"447.85 x 177","464.00 x 181",456.29,450,mid,20533000,594,154,86.38%,-0.2852366783,MLET,ToOpen,"11:12:11 ET"
TSLA,403.9,Call,600,2028-12-15T16:30:00-06:00,921,"93.75 x 136","94.95 x 100",94.94,2000,mid,18988000,2041,10005,53.07%,0.53010139887068,MLCT,N/A,"10:57:41 ET"
BRK.B,487.92,Call,330,2028-01-21T16:30:00-06:00,592,"185.30 x 92","189.00 x 31",187,1000,mid,18700000,5170,10164,30.77%,0.91208039262577,MFSL,N/A,"14:29:27 ET"
GOOGL,364.965,Call,415,2026-08-21T16:30:00-05:00,74,"9.00 x 36","9.20 x 120",9.2,20000,ask,18400000,56217,817,37.48%,0.26256037004885,MLFT,N/A,"13:31:31 ET"
MCHP,92.15,Call,85,2026-09-18T16:30:00-05:00,102,"13.90 x 764","16.40 x 323",16.25,11000,mid,17875000,11001,12239,60.96%,0.66165757335872,SLCN,N/A,"12:29:05 ET"
BE,253.05,Call,260,2026-06-18T16:30:00-05:00,10,"16.40 x 19","17.45 x 81",17.45,10000,ask,17450000,23471,24594,118.89%,0.48633035827119,MLFT,N/A,"12:36:03 ET"
NVDA,208.39,Call,180,2026-07-24T16:30:00-05:00,46,"32.05 x 7","32.65 x 84",32.33,5250,mid,16973200,5265,5,45.18%,0.84671128528827,MLCT,ToOpen,"12:37:58 ET"
CLSK,16.83,Call,5,2026-06-18T16:30:00-05:00,10,"10.25 x 2264","11.95 x 671",11.7,14265,mid,16690000,14265,19652,0.00%,0,TLCT,N/A,"13:48:35 ET"
BRK.B,487.92,Call,540,2028-01-21T16:30:00-06:00,592,"39.90 x 167","42.45 x 38",41.2,4000,mid,16480000,5173,10665,19.93%,0.48961523142458,MFSL,N/A,"14:29:27 ET"
BE,253.05,Call,275,2026-06-26T16:30:00-05:00,18,"15.60 x 323","17.10 x 262",16,10000,mid,16000000,21505,145,110.16%,0.41665586425801,MLFT,N/A,"12:36:03 ET"
NVDA,209.135,Call,260,2028-01-21T16:30:00-06:00,592,"36.35 x 418","36.75 x 593",36.39,4000,mid,14556000,4022,4264,46.13%,0.51145854235918,TLCT,N/A,"14:45:41 ET"
MSTR,127.12,Put,220,2026-06-18T16:30:00-05:00,10,"91.60 x 227","94.45 x 128",92.85,1525,mid,14159600,1525,1980,154.97%,-0.9804803696,SLFT,N/A,"15:47:34 ET"
DELL,404.19,Put,420,2027-12-17T16:30:00-06:00,557,"136.50 x 12","141.50 x 7",139.33,1000,mid,13933000,1000,11,72.60%,-0.3313941568,MLCT,ToOpen,"11:36:22 ET"
MU,956.5008,Put,820,2028-06-16T16:30:00-05:00,739,"302.15 x 145","312.20 x 96",307.18,450,mid,13823100,594,81,85.98%,-0.2205708354,MLET,ToOpen,"11:12:11 ET"
SNDK,1617.64,Call,1500,2027-01-15T16:30:00-06:00,221,"583.20 x 4","597.40 x 6",590.42,224,mid,13225400,510,1207,108.98%,0.70543515937325,MLET,N/A,"09:57:38 ET"
MU,952.1,Put,1500,2028-12-15T16:30:00-06:00,921,"830.00 x 29","848.00 x 98",834,150,mid,12510000,150,172,86.24%,-0.3752535075,SLFT,N/A,"12:42:58 ET"
CRWV,102.3325,Call,115,2026-07-17T16:30:00-05:00,39,"6.90 x 316","7.20 x 256",7,17500,mid,12250000,20308,4209,87.01%,0.39966840710908,SLFT,ToOpen,"15:51:17 ET"
SNDK,1617.64,Call,1650,2027-01-15T16:30:00-06:00,221,"528.10 x 1","544.20 x 1",536.02,224,mid,12006800,510,138,108.67%,0.66512400069519,MLET,N/A,"09:57:38 ET"
ADSK,228.94,Call,190,2027-03-19T16:30:00-05:00,284,"58.50 x 26","64.30 x 27",60.7,1903,mid,11551200,1903,1,48.36%,0.76379229605625,MLFT,ToOpen,"09:58:38 ET"
RCL,274.01,Put,250,2026-09-18T16:30:00-05:00,102,"17.30 x 11","18.30 x 11",17.58,6500,mid,11426900,6519,10255,52.44%,-0.3134837721,MLCT,N/A,"14:07:55 ET"
NVDA,209.64,Call,190,2026-09-18T16:30:00-05:00,102,"31.50 x 459","31.75 x 113",31.55,3500,mid,11042500,3690,99361,45.66%,0.7158606897373,SLCN,N/A,"12:19:08 ET"
ADSK,228.94,Call,195,2027-03-19T16:30:00-05:00,284,"54.00 x 30","59.80 x 29",57.6,1903,mid,10961200,1903,0,45.93%,0.74873452925697,MLFT,ToOpen,"09:58:38 ET"
MSFT,411.43,Call,460,2026-08-21T16:30:00-05:00,74,"10.80 x 18","10.90 x 1",10.9,10000,ask,10900000,52590,6694,36.35%,0.28554138871155,MLFT,N/A,"13:49:50 ET"
