Symbol,Price~,"Exp Date",DTE,Type,Strike,Moneyness,Bid,Ask,Volume,"Open Int","OI %Chg",Vol/OI,IV,Delta,Time
UMC,20,2026-07-17,39,Put,25.00,+25.00%,5.4,6.4,1,1854,-81.50%,0,91.14%,-0.724439,2026-06-08
POET,12.28,2026-07-02,24,Call,17.00,-38.44%,0.29,0.59,165,3442,-70.51%,0.05,131.99%,0.216291,2026-06-08
SMCI,43.99,2026-06-12,4,Call,52.00,-18.21%,0.14,0.22,705,1605,-68.88%,0.44,109.88%,0.081754,2026-06-08
INTC,110.27,2026-06-18,10,Put,130.00,+17.89%,20.75,22.15,41,1846,-66.29%,0.02,102.72%,-0.811105,2026-06-08
DT,41.92,2026-06-18,10,Put,42.50,+1.38%,1.55,2.15,3,1088,-66.05%,0,56.13%,-0.537237,2026-06-08
MU,949.28,2026-06-12,4,Call,"1,300.00",-36.95%,0.18,0.31,1908,1621,-65.03%,1.18,118.19%,0.006651,2026-06-08
CSCO,124.15,2026-06-12,4,Put,124.00,-0.12%,2.07,2.3,113,2297,-63.15%,0.05,43.87%,-0.478526,2026-06-08
IE,11.28,2026-10-16,130,Call,17.50,-55.14%,0.6,0.95,5,1264,-62.68%,0,84.88%,0.278281,2026-06-08
ERO,26.9,2026-10-16,130,Call,45.00,-67.29%,0.7,1.05,24,2194,-62.60%,0.01,71.93%,0.170161,2026-06-08
BE,253.57,2026-08-21,74,Call,360.00,-41.97%,20.9,22.25,119,2350,-62.49%,0.05,110.89%,0.330956,2026-06-08
SMCI,43.99,2026-06-12,4,Call,49.00,-11.39%,0.38,0.48,871,1878,-62.09%,0.46,103.90%,0.175234,2026-06-08
AMZN,245.22,2026-07-17,39,Call,290.00,-18.26%,0.86,0.89,2751,24410,-60.92%,0.11,33.61%,0.075555,2026-06-08
MARA,13.78,2026-06-18,10,Call,15.50,-12.48%,0.2,0.27,923,1219,-60.06%,0.76,85.10%,0.224319,2026-06-08
DELL,400.77,2026-09-18,102,Call,500.00,-24.76%,35.3,38.1,70,1020,-59.80%,0.07,80.09%,0.384939,2026-06-08
CLF,12.68,2026-07-17,39,Call,20.00,-57.73%,0.09,0.13,15,3407,-59.75%,0,87.80%,0.075152,2026-06-08
EQT,52.98,2026-09-18,102,Call,75.00,-41.56%,0,0.75,2,3053,-59.53%,0,42.01%,0.077041,2026-06-08
ABSI,6.55,2026-06-18,10,Call,5.00,+23.66%,1.5,1.85,6,1372,-58.54%,0,160.00%,0.876135,2026-06-08
BE,253.57,2026-08-21,74,Call,270.00,-6.48%,44,45.75,26,1741,-58.05%,0.01,111.69%,0.556295,2026-06-08
MU,949.28,2026-06-12,4,Call,"1,150.00",-21.14%,2.89,3.05,3656,1506,-57.82%,2.43,114.84%,0.062738,2026-06-08
MXL,79.27,2026-09-18,102,Call,115.00,-45.07%,10.8,11.8,19,2014,-57.66%,0.01,125.64%,0.415766,2026-06-08
APA,37.66,2026-09-18,102,Call,55.00,-46.04%,0.45,0.61,10,4085,-56.45%,0,53.17%,0.114933,2026-06-08
NOK,14.59,2026-06-12,4,Put,17.00,+16.52%,2.23,2.78,58,2116,-55.14%,0.03,117.28%,-0.881762,2026-06-08
MU,949.28,2027-01-15,221,Call,"1,050.00",-10.61%,239.3,243,32,1212,-54.79%,0.03,92.73%,0.599352,2026-06-08
CRM,182.55,2026-08-21,74,Call,300.00,-64.34%,0.4,0.7,83,1402,-54.12%,0.06,55.68%,0.033288,2026-06-08
MSTR,127.2,2026-06-12,4,Call,142.00,-11.64%,0.79,0.87,949,1526,-53.42%,0.62,92.29%,0.138524,2026-06-08
XIFR,11.7,2026-10-16,130,Call,14.00,-19.66%,0.55,0.7,3,1911,-53.21%,0,60.16%,0.28698,2026-06-08
NOK,14.59,2026-06-18,10,Put,17.00,+16.52%,2.54,2.67,43,5050,-53.14%,0.01,92.96%,-0.820007,2026-06-08
WFC,80.96,2026-07-17,39,Put,60.00,-25.89%,0.07,0.13,6,8879,-53.14%,0,46.95%,-0.020688,2026-06-08
AXTI,90.78,2026-07-17,39,Call,120.00,-32.19%,7.4,8.1,33,1310,-52.64%,0.03,138.53%,0.351504,2026-06-08
LAES,3.22,2026-06-26,18,Call,4.00,-24.22%,0,0.11,22,1156,-52.39%,0.02,92.03%,0.170928,2026-06-08
ABSI,6.55,2026-06-18,10,Call,6.00,+8.40%,0.8,1,9,1730,-52.35%,0.01,140.49%,0.690679,2026-06-08
AA,73.44,2026-09-18,102,Call,100.00,-36.17%,3.1,3.35,99,5385,-51.71%,0.02,66.34%,0.247884,2026-06-08
POET,12.28,2026-07-10,32,Call,14.00,-14.01%,0.9,1.41,722,6446,-51.62%,0.11,121.80%,0.43086,2026-06-08
VSH,57.22,2026-07-17,39,Put,55.00,-3.88%,7,7.8,41,2480,-51.56%,0.02,117.61%,-0.381186,2026-06-08
INTC,110.27,2026-06-26,18,Put,60.00,-45.59%,0.02,0.1,166,1383,-51.20%,0.12,115.45%,-0.00608,2026-06-08
MXL,79.27,2026-06-18,10,Call,120.00,-51.38%,0.35,0.75,65,2394,-50.79%,0.03,154.33%,0.067913,2026-06-08
PLTR,136.47,2026-09-18,102,Call,230.00,-68.54%,1.47,1.56,42,5679,-50.35%,0.01,62.53%,0.083384,2026-06-08
RGTI,21.76,2026-08-21,74,Call,30.00,-37.87%,2.03,2.29,352,2169,-50.22%,0.16,114.86%,0.364138,2026-06-08
BE,253.57,2026-08-21,74,Call,380.00,-49.86%,17.7,18.4,81,1226,-50.16%,0.07,110.04%,0.289935,2026-06-08
ON,120.9,2026-07-17,39,Put,120.00,-0.74%,11.65,12.1,19,1532,-49.79%,0.01,80.08%,-0.432084,2026-06-08
ASTS,92.06,2026-07-17,39,Call,120.00,-30.35%,5.9,6.05,2677,16398,-49.44%,0.16,118.25%,0.314803,2026-06-08
ASX,35.52,2026-09-18,102,Call,37.50,-5.57%,4.7,6.5,301,1021,-49.05%,0.29,85.87%,0.54095,2026-06-08
V,319.67,2026-08-21,74,Call,370.00,-15.74%,1.76,2.33,12,1240,-48.99%,0.01,25.30%,0.119718,2026-06-08
EBAY,108.44,2026-06-18,10,Put,92.50,-14.70%,0,0.25,276,1038,-48.82%,0.27,53.44%,-0.032249,2026-06-08
T,22.5,2026-06-18,10,Put,26.00,+15.56%,3.25,3.6,21,6718,-48.65%,0,0.00%,0,2026-06-08
AMZN,245.22,2026-08-21,74,Call,335.00,-36.61%,0.81,0.97,46,6771,-47.92%,0.01,39.41%,0.051887,2026-06-08
DHR,183.53,2026-06-18,10,Call,195.00,-6.25%,0.7,0.9,9,2704,-47.81%,0,34.23%,0.15183,2026-06-08
NTNX,51.85,2026-07-17,39,Call,55.00,-6.08%,2.4,2.6,342,1112,-47.27%,0.31,54.55%,0.413188,2026-06-08
IBM,280.82,2026-06-18,10,Put,235.00,-16.32%,0.18,0.38,166,1711,-46.96%,0.1,57.22%,-0.026697,2026-06-08
CSCO,124.15,2026-06-12,4,Call,123.00,+0.93%,2.69,3.25,257,1354,-46.88%,0.19,45.21%,0.589165,2026-06-08
MMM,153.85,2026-06-18,10,Put,135.00,-12.25%,0.1,0.26,9,2290,-46.57%,0,45.53%,-0.037722,2026-06-08
POET,12.28,2026-07-17,39,Call,9.00,+26.71%,3.55,4.15,582,11957,-46.20%,0.05,124.80%,0.835363,2026-06-08
META,585.39,2026-06-10,2,Put,580.00,-0.92%,4.35,4.6,1920,1589,-45.68%,1.21,39.94%,-0.369599,2026-06-08
MSTR,127.2,2026-06-12,4,Call,145.00,-13.99%,0.54,0.61,1828,2369,-45.53%,0.77,94.04%,0.100772,2026-06-08
NOK,14.59,2026-06-12,4,Put,16.50,+13.09%,1.95,2.21,80,2630,-45.51%,0.03,121.21%,-0.817358,2026-06-08
HL,14.89,2026-07-17,39,Put,18.00,+20.89%,3.4,3.8,61,1368,-44.93%,0.04,76.95%,-0.733728,2026-06-08
POET,12.28,2026-07-17,39,Call,12.00,+2.28%,2.08,2.19,732,6088,-44.75%,0.12,125.37%,0.606761,2026-06-08
RBRK,71.73,2026-07-17,39,Call,85.00,-18.50%,1.9,2.3,2182,1662,-44.67%,1.31,65.62%,0.252794,2026-06-08
SPCE,4.12,2026-06-12,4,Call,4.50,-9.22%,0.32,0.37,10708,4499,-44.59%,2.38,285.78%,0.442734,2026-06-08
PYPL,41.26,2026-06-18,10,Put,52.50,+27.24%,10.8,11.8,9,2229,-44.52%,0,79.48%,-0.963016,2026-06-08
BB,9.29,2026-06-12,4,Put,10.50,+13.02%,1.25,1.7,8,5901,-44.40%,0,173.68%,-0.719482,2026-06-08
NXE,10.4,2026-08-21,74,Put,11.00,+5.77%,1.55,1.75,3,1589,-44.28%,0,71.76%,-0.498632,2026-06-08
AMD,490.33,2026-07-17,39,Call,510.00,-4.01%,37.6,38.45,1056,2785,-44.12%,0.38,71.32%,0.485993,2026-06-08
CAG,13.15,2026-06-18,10,Put,15.00,+14.07%,1.7,1.95,12,2888,-43.81%,0,0.00%,0,2026-06-08
INTC,110.27,2026-06-12,4,Call,111.00,-0.66%,4.2,4.3,7236,1533,-43.10%,4.72,99.36%,0.496745,2026-06-08
POET,12.28,2026-06-12,4,Put,11.00,-10.42%,0.23,0.4,3487,4067,-43.02%,0.86,164.56%,-0.233539,2026-06-08
NVDA,208.64,2026-08-21,74,Call,285.00,-36.60%,1.35,1.43,100,2550,-42.88%,0.04,44.71%,0.079066,2026-06-08
WEN,6.74,2026-07-10,32,Put,6.50,-3.56%,0.25,0.4,18,26808,-42.80%,0,54.50%,-0.386167,2026-06-08
WEN,6.74,2026-07-10,32,Put,7.50,+11.28%,0.85,1,22,26868,-42.75%,0,50.72%,-0.740602,2026-06-08
AMZN,245.22,2026-06-12,4,Call,267.50,-9.09%,0.09,0.1,4831,1261,-42.71%,3.83,41.40%,0.024103,2026-06-08
MXL,79.27,2026-07-17,39,Call,120.00,-51.38%,2.8,3.2,49,1242,-42.53%,0.04,121.77%,0.202496,2026-06-08
MSTR,127.2,2026-06-12,4,Call,137.00,-7.70%,1.51,1.69,503,4448,-42.50%,0.11,91.53%,0.234959,2026-06-08
NBIS,218,2026-07-17,39,Call,320.00,-46.79%,7.35,7.85,299,2454,-42.23%,0.12,113.00%,0.199391,2026-06-08
MSTR,127.2,2026-06-12,4,Put,128.00,+0.63%,5.05,5.4,1953,1662,-42.07%,1.18,90.84%,-0.506002,2026-06-08
AMKR,68.29,2026-07-17,39,Call,85.00,-24.47%,2.65,2.85,667,3082,-41.78%,0.22,86.56%,0.267477,2026-06-08
GOOG,361.17,2026-08-21,74,Call,470.00,-30.13%,2.09,2.37,76,1076,-41.65%,0.07,38.69%,0.083083,2026-06-08
QCOM,217.77,2026-07-17,39,Put,190.00,-12.75%,9.45,10.25,158,2766,-41.46%,0.06,79.44%,-0.253421,2026-06-08
TMCI,3.53,2026-09-18,102,Call,2.50,+29.18%,1.1,1.4,400,1244,-41.46%,0.32,92.59%,0.834153,2026-06-08
CXDO,7.69,2027-01-15,221,Call,17.50,-127.57%,0.85,1.3,13,2516,-40.93%,0.01,119.46%,0.345157,2026-06-08
IREN,59.19,2026-06-12,4,Call,64.00,-8.13%,1.22,1.29,1553,4324,-40.90%,0.36,119.62%,0.288339,2026-06-08
MSFT,411.74,2026-08-21,74,Call,600.00,-45.72%,0.93,1.07,292,5051,-40.79%,0.06,42.89%,0.034068,2026-06-08
IREN,59.19,2026-07-17,39,Call,110.00,-85.84%,0.64,0.76,229,2270,-40.33%,0.1,117.35%,0.078767,2026-06-08
OKLO,58.94,2026-07-17,39,Call,80.00,-35.73%,2.21,2.35,869,8598,-40.18%,0.1,102.39%,0.231568,2026-06-08
PLTR,136.47,2026-06-18,10,Call,40.00,+70.69%,95.5,97.7,67,1776,-40.18%,0.04,305.23%,0.996354,2026-06-08
PURR,8.92,2026-12-18,193,Put,10.00,+12.11%,3.6,3.8,93,5212,-39.96%,0.02,122.38%,-0.371183,2026-06-08
MSTR,127.2,2026-12-18,193,Put,90.00,-29.25%,11.65,12.35,63,6831,-39.91%,0.01,89.10%,-0.188524,2026-06-08
FCX,63.91,2026-07-17,39,Call,80.00,-25.18%,0.7,0.9,458,11945,-39.86%,0.04,57.86%,0.140606,2026-06-08
CVS,97.08,2026-06-12,4,Call,98.00,-0.95%,0.91,0.98,2563,5299,-39.83%,0.48,33.19%,0.400707,2026-06-08
POET,12.28,2026-07-17,39,Call,16.00,-30.29%,0.9,1.04,438,34902,-39.51%,0.01,130.06%,0.344353,2026-06-08
CIFR,24.29,2027-01-15,221,Call,17.00,+30.01%,10.4,11.4,8,4763,-39.46%,0,103.75%,0.808987,2026-06-08
ON,120.9,2026-07-17,39,Put,125.00,+3.39%,14.45,14.9,79,1334,-39.31%,0.06,79.92%,-0.49442,2026-06-08
MXL,79.27,2026-09-18,102,Call,125.00,-57.69%,9.1,10,7,1318,-39.18%,0.01,125.44%,0.366972,2026-06-08
PLTR,136.47,2026-09-18,102,Call,170.00,-24.57%,6.2,6.45,225,9679,-38.86%,0.02,56.14%,0.288654,2026-06-08
F,15,2026-06-12,4,Call,15.00,0.00%,0.3,0.31,7936,32167,-38.34%,0.25,48.75%,0.509795,2026-06-08
PLTR,136.47,2026-07-10,32,Put,137.00,+0.39%,7.55,8.1,10,1221,-38.27%,0.01,48.11%,-0.475696,2026-06-08
NBIS,218,2026-07-17,39,Call,300.00,-37.61%,9.8,10.3,580,2782,-38.19%,0.21,112.36%,0.249855,2026-06-08
BB,9.29,2026-06-18,10,Call,9.00,+3.12%,0.7,0.8,1039,3503,-38.12%,0.3,97.62%,0.611508,2026-06-08
IOT,34.06,2026-06-12,4,Call,38.00,-11.57%,0.05,0.25,256,1695,-37.93%,0.15,82.07%,0.109982,2026-06-08
LULU,117.55,2026-06-18,10,Put,160.00,+36.11%,41.65,43.8,25,1163,-37.77%,0.02,105.19%,-0.956071,2026-06-08
TSLA,408.95,2026-06-12,4,Call,450.00,-10.04%,0.84,0.87,24047,12412,-37.64%,1.94,61.62%,0.074306,2026-06-08
WBD,26.47,2026-11-20,165,Put,26.00,-1.78%,1.8,3.25,15,4435,-37.63%,0,41.96%,-0.4029,2026-06-08
ASTS,92.06,2026-08-21,74,Call,90.00,+2.24%,19.5,20.45,124,2340,-37.48%,0.05,115.32%,0.624652,2026-06-08
KLAR,16.55,2027-01-15,221,Call,20.00,-20.85%,2.35,3.1,6,1170,-37.47%,0.01,73.41%,0.497691,2026-06-08
VALE,14.99,2026-09-18,102,Put,12.00,-19.95%,0.22,0.25,6,1728,-36.56%,0,39.62%,-0.134031,2026-06-08
LYB,64.43,2026-09-18,102,Call,80.00,-24.17%,1.85,2.05,6,1124,-36.14%,0.01,48.04%,0.230255,2026-06-08
PG,145.1,2026-07-17,39,Call,150.00,-3.38%,2.56,2.78,312,7275,-36.09%,0.04,24.37%,0.355692,2026-06-08
