Symbol,Price~,"Exp Date",DTE,Type,Strike,Moneyness,Bid,Ask,Volume,"Open Int","OI %Chg",Vol/OI,IV,Delta,Time
MARA,13.78,2026-07-10,32,Put,9.50,-31.06%,0,0.4,12,6008,"+600,700.00%",0,105.73%,-0.087852,2026-06-08
ACMR,80.57,2026-06-12,4,Call,86.00,-6.74%,1.65,2.15,52,4364,"+436,300.00%",0.01,116.21%,0.318427,2026-06-08
AG,17.17,2026-06-12,4,Call,17.00,+0.99%,0.64,0.71,215,2195,"+219,400.00%",0.1,81.72%,0.564814,2026-06-08
AG,17.17,2026-06-26,18,Call,18.50,-7.75%,0.54,0.67,6,7023,"+175,475.00%",0,72.27%,0.353856,2026-06-08
UMAC,25.85,2026-06-12,4,Call,26.50,-2.51%,0.9,1.2,2240,1722,"+172,100.00%",1.3,123.22%,0.450268,2026-06-08
LRCX,324.45,2026-06-12,4,Put,130.00,-59.93%,0,0.1,4,5004,"+125,000.00%",0,311.71%,-0.001508,2026-06-08
NBIS,218,2026-06-26,18,Put,285.00,+30.73%,70.45,72.9,1,7003,"+116,616.67%",0,116.69%,-0.817293,2026-06-08
RKT,12.35,2026-07-10,32,Call,14.50,-17.41%,0.2,0.29,8,3463,"+115,333.33%",0,60.06%,0.213193,2026-06-08
ABSI,6.55,2027-01-15,221,Put,7.00,+6.87%,2,3.1,20,1076,"+107,500.00%",0.02,118.70%,-0.34315,2026-06-08
SATS,116.62,2026-07-10,32,Put,100.00,-14.25%,4.7,5.4,26,1516,"+75,700.00%",0.02,91.24%,-0.237395,2026-06-08
MSTR,127.2,2026-06-12,4,Call,118.00,+7.23%,10.6,11.2,226,1346,"+67,200.00%",0.17,97.10%,0.786238,2026-06-08
AG,17.17,2026-06-12,4,Call,18.00,-4.83%,0.24,0.29,548,1223,"+61,050.00%",0.45,80.01%,0.302365,2026-06-08
RIOT,25.69,2026-07-10,32,Call,28.00,-8.99%,1.55,1.9,269,15281,"+54,475.00%",0.02,85.26%,0.419953,2026-06-08
PL,32.74,2026-06-26,18,Put,20.00,-38.91%,0,0.2,22,4010,"+50,025.00%",0.01,123.80%,-0.026421,2026-06-08
KEEL,5.66,2026-07-17,39,Call,11.00,-94.35%,0.1,0.33,38,2003,"+49,975.00%",0.02,163.71%,0.166815,2026-06-08
SMCI,43.99,2026-06-12,4,Call,44.50,-1.16%,1.5,1.61,2401,18192,"+47,773.68%",0.13,96.96%,0.47651,2026-06-08
PAA,22.8,2026-07-17,39,Put,22.00,-3.51%,0.25,0.35,3,2245,"+44,800.00%",0,20.33%,-0.300256,2026-06-08
MRLN,7.89,2026-08-21,74,Call,12.50,-58.43%,0.25,0.6,87,7108,"+37,310.53%",0.01,105.90%,0.238582,2026-06-08
MSTR,127.2,2026-06-12,4,Call,121.00,+4.87%,8.35,8.9,282,8136,"+36,881.82%",0.03,94.19%,0.71233,2026-06-08
HL,14.89,2026-06-12,4,Call,15.50,-4.10%,0.21,0.25,1089,4257,"+35,375.00%",0.26,74.39%,0.318543,2026-06-08
UAMY,7.81,2026-06-26,18,Put,6.50,-16.77%,0.2,0.35,5,5035,"+33,466.67%",0,120.62%,-0.20459,2026-06-08
CRDO,222.27,2026-08-21,74,Call,350.00,-57.47%,11.5,14.8,4,1002,"+33,300.00%",0,108.82%,0.252595,2026-06-08
MSTR,127.2,2026-06-12,4,Call,126.00,+0.94%,5.45,5.65,2805,13407,"+29,693.33%",0.21,92.73%,0.559734,2026-06-08
SAP,181.92,2026-06-12,4,Call,192.50,-5.82%,0.75,1.4,10,1114,"+27,750.00%",0.01,58.02%,0.183465,2026-06-08
LUMN,9.01,2026-07-02,24,Put,8.00,-11.21%,0.2,0.33,1,2011,"+25,037.50%",0,73.49%,-0.23994,2026-06-08
PRGO,11.61,2026-07-17,39,Call,10.00,+13.87%,1.4,2.3,1408,1004,"+25,000.00%",1.4,61.55%,0.794135,2026-06-08
MCHP,91.37,2026-06-12,4,Call,95.00,-3.97%,1.3,1.55,76,3074,"+23,546.15%",0.02,73.99%,0.321982,2026-06-08
AG,17.17,2026-06-12,4,Call,18.50,-7.75%,0.15,0.18,519,1115,"+22,200.00%",0.47,82.27%,0.206317,2026-06-08
AESI,17.28,2027-01-15,221,Call,17.50,-1.27%,3.1,3.5,94,2563,"+21,258.33%",0.04,66.74%,0.572901,2026-06-08
MRVL,288.85,2026-07-24,46,Call,280.00,+3.06%,46.2,49.1,50,3269,"+20,331.25%",0.02,106.13%,0.611404,2026-06-08
SCCO,170.48,2026-06-12,4,Put,170.00,-0.28%,4,5.6,4,1624,"+20,200.00%",0,71.02%,-0.469338,2026-06-08
U,28.8,2026-06-12,4,Put,25.50,-11.46%,0.09,0.13,34,1970,"+19,600.00%",0.02,88.49%,-0.086284,2026-06-08
PPC,29.18,2026-07-17,39,Call,32.90,-12.75%,0.25,0.55,815,5623,"+19,289.66%",0.14,44.73%,0.184663,2026-06-08
STM,75.01,2026-06-12,4,Call,75.00,+0.01%,2.8,3.3,388,5858,"+18,796.77%",0.07,96.85%,0.522105,2026-06-08
TLRY,5.03,2026-06-12,4,Call,4.50,+10.54%,0.47,0.6,1063,1127,"+18,683.33%",0.94,56.53%,0.972428,2026-06-08
CL,86.07,2026-06-12,4,Put,88.00,+2.24%,2,2.45,877,1126,"+18,666.67%",0.78,26.97%,-0.778993,2026-06-08
TXN,290.9,2026-06-12,4,Call,302.50,-3.99%,3,3.55,9,1064,"+17,633.33%",0.01,62.26%,0.286132,2026-06-08
ROL,46.58,2026-06-18,10,Call,50.00,-7.34%,0.25,0.45,1414,3184,"+16,657.89%",0.44,45.84%,0.187073,2026-06-08
PAA,22.8,2026-07-17,39,Put,23.00,+0.88%,0.6,0.8,21,2817,"+15,550.00%",0.01,18.48%,-0.564594,2026-06-08
KLAR,16.55,2026-06-12,4,Put,17.50,+5.74%,1,1.35,30,1092,"+15,500.00%",0.03,82.45%,-0.72607,2026-06-08
APA,37.66,2026-06-26,18,Call,43.00,-14.18%,0.23,0.43,1,4125,"+14,632.14%",0,54.04%,0.148771,2026-06-08
AGI,35.87,2027-01-15,221,Put,34.00,-5.21%,4.6,4.9,2,1010,"+14,328.57%",0,55.35%,-0.353988,2026-06-08
INTU,305.51,2026-06-12,4,Put,265.00,-13.26%,0.05,0.65,18,1404,"+13,940.00%",0.01,76.79%,-0.034957,2026-06-08
AMD,490.33,2026-07-02,24,Put,390.00,-20.46%,4.9,5,1103,16230,"+13,538.66%",0.07,76.23%,-0.100255,2026-06-08
COIN,162.11,2026-06-12,4,Call,157.50,+2.84%,7.85,8.25,962,1331,"+12,000.00%",0.72,80.88%,0.650923,2026-06-08
BTDR,18.49,2026-06-12,4,Call,19.00,-2.76%,0.95,1.2,317,2652,"+11,430.43%",0.12,167.72%,0.47411,2026-06-08
COIN,162.11,2026-06-12,4,Call,155.00,+4.39%,9.55,9.95,556,2494,"+11,236.36%",0.22,82.01%,0.715669,2026-06-08
NOK,14.59,2026-07-24,46,Call,15.00,-2.81%,1.6,1.84,358,2148,"+11,205.26%",0.17,90.99%,0.533997,2026-06-08
