Symbol,Price~,"Exp Date",DTE,Type,Strike,Moneyness,Bid,Ask,Volume,"IV %Chg",IV,Vega,Delta,Time
INTC,110.27,2026-06-12,4,Call,85.00,+22.92%,23.75,26.3,158,+145.19%,223.35%,0.021568,0.89093,2026-06-08
CRM,182.55,2026-06-12,4,Put,212.50,+16.41%,29.55,32,220,+85.65%,106.39%,0.032319,-0.904785,2026-06-08
CNI,120.81,2026-06-18,10,Call,115.00,+4.81%,5.2,6.3,222,+78.84%,22.27%,0.031341,0.913568,2026-06-08
COST,974.75,2026-06-26,18,Put,550.00,-43.58%,0,4.8,227,+65.24%,135.75%,0.104832,-0.020001,2026-06-08
WBD,26.47,2026-08-21,74,Call,27.00,-2.00%,1.4,3.4,1275,+62.13%,53.65%,0.04743,0.52787,2026-06-08
WDC,526.93,2026-06-12,4,Put,380.00,-27.88%,0,4.5,100,+58.73%,197.86%,0.053351,-0.046136,2026-06-08
MDLN,33.8,2026-06-18,10,Call,35.00,-3.55%,0.45,2.05,712,+56.95%,78.11%,0.021887,0.421702,2026-06-08
USB,55.35,2026-06-12,4,Call,55.00,+0.63%,0.93,1.34,106,+56.59%,41.25%,0.022782,0.566689,2026-06-08
NEE,84.01,2026-06-18,10,Call,80.00,+4.77%,4.3,5.8,242,+54.20%,47.16%,0.044339,0.747406,2026-06-08
BKNG,162.3,2026-06-18,10,Put,168.00,+3.51%,6.6,8.5,143,+51.26%,38.22%,0.094128,-0.694028,2026-06-08
NKTR,56.62,2026-06-18,10,Call,60.00,-5.97%,1.55,4.1,436,+49.47%,111.46%,0.036519,0.414214,2026-06-08
TGTX,40.95,2026-06-18,10,Put,40.00,-2.32%,0.6,1.2,112,+48.95%,50.00%,0.025561,-0.368766,2026-06-08
FCPT,24.49,2026-07-17,39,Call,25.00,-2.08%,0.3,1,150,+46.32%,28.05%,0.031145,0.419144,2026-06-08
WBD,26.47,2026-09-18,102,Call,25.00,+5.55%,2.7,3.85,526,+45.88%,42.89%,0.051305,0.659379,2026-06-08
USB,55.35,2026-06-12,4,Call,56.00,-1.17%,0.4,0.75,754,+43.03%,37.06%,0.022208,0.388945,2026-06-08
BABA,120.07,2026-06-12,4,Put,129.00,+7.44%,9.85,11,100,+42.48%,89.89%,0.038819,-0.762538,2026-06-08
USB,55.35,2026-06-12,4,Put,56.00,+1.17%,0.99,1.42,400,+41.50%,36.15%,0.022157,-0.613806,2026-06-08
FDMT,8.64,2026-10-16,130,Call,10.00,-15.74%,1.1,1.75,503,+40.20%,91.08%,0.020562,0.510724,2026-06-08
LQDA,63.9,2026-06-12,4,Call,63.00,+1.41%,3.2,5.7,360,+39.60%,150.02%,0.026296,0.568041,2026-06-08
RPRX,54.86,2026-06-18,10,Call,57.50,-4.81%,0.1,0.4,109,+38.03%,29.50%,0.023551,0.176752,2026-06-08
UMC,20,2026-07-17,39,Call,24.00,-20.00%,0.65,1.1,232,+37.41%,83.53%,0.022357,0.291601,2026-06-08
LRCX,324.45,2026-06-12,4,Put,265.00,-18.32%,0.1,0.89,223,+37.18%,108.56%,0.024904,-0.032832,2026-06-08
BROS,56.25,2026-06-12,4,Call,56.00,+0.44%,1.45,1.9,109,+37.15%,65.52%,0.023361,0.541831,2026-06-08
MSFT,411.74,2026-06-18,10,Put,455.00,+10.51%,42.6,45.15,210,+36.99%,40.01%,0.088571,-0.932252,2026-06-08
VTR,79.62,2026-07-17,39,Call,85.00,-6.76%,0.3,0.85,131,+35.70%,21.64%,0.070816,0.191167,2026-06-08
MSFT,411.74,2026-06-18,10,Put,460.00,+11.72%,47.45,49.6,151,+33.93%,38.37%,0.05649,-0.961034,2026-06-08
ABVX,101.53,2026-06-12,4,Call,125.00,-23.12%,0,1.95,174,+33.90%,160.05%,0.02176,0.124018,2026-06-08
ALB,149.84,2026-06-18,10,Put,185.00,+23.47%,34.35,37.35,265,+33.18%,87.49%,0.037552,-0.917608,2026-06-08
JNJ,232.16,2026-06-12,4,Put,222.50,-4.16%,0.04,0.75,200,+33.05%,32.65%,0.043578,-0.102993,2026-06-08
NKTR,56.62,2026-06-18,10,Call,55.00,+2.86%,3.9,4.4,261,+32.93%,88.16%,0.035962,0.609779,2026-06-08
CNC,65.03,2026-06-18,10,Call,61.00,+6.20%,4.6,5.65,262,+32.78%,62.09%,0.033991,0.752912,2026-06-08
TGTX,40.95,2026-07-17,39,Call,44.00,-7.45%,1,3.6,210,+32.71%,64.45%,0.052157,0.414152,2026-06-08
EL,84.64,2026-06-18,10,Put,90.00,+6.33%,5.9,8.3,250,+32.69%,67.30%,0.049473,-0.688662,2026-06-08
ARR,16.7,2026-07-17,39,Call,17.00,-1.80%,0.2,0.3,106,+32.51%,17.94%,0.020693,0.379568,2026-06-08
OGN,13.39,2026-12-18,193,Put,11.00,-17.85%,0.05,1,561,+32.32%,41.93%,0.027115,-0.198896,2026-06-08
CVS,97.08,2026-06-12,4,Call,94.00,+3.17%,3.2,4.1,101,+32.30%,41.90%,0.030378,0.775968,2026-06-08
FLEX,150.83,2026-06-18,10,Call,100.00,+33.70%,49.3,51.3,101,+32.28%,166.27%,0.026188,0.948935,2026-06-08
CNC,65.03,2026-06-18,10,Call,60.00,+7.73%,5.5,6.35,146,+32.10%,63.91%,0.030594,0.794873,2026-06-08
TKR,134.67,2026-06-18,10,Call,130.00,+3.47%,6.4,8.5,118,+31.91%,53.74%,0.080366,0.673166,2026-06-08
NOW,114.19,2026-06-18,10,Call,96.00,+15.93%,18.7,20.1,301,+31.90%,95.25%,0.037329,0.882158,2026-06-08
DUOL,117.96,2026-06-12,4,Call,118.00,-0.03%,3.3,4.2,180,+31.62%,76.08%,0.049221,0.516175,2026-06-08
COST,974.75,2026-06-12,4,Put,870.00,-10.75%,0.01,0.7,257,+31.24%,52.57%,0.045014,-0.017922,2026-06-08
SNDK,1642,2026-06-12,4,Put,800.00,-51.28%,0.05,1.9,197,+30.73%,288.08%,0.027529,-0.005606,2026-06-08
DUOL,117.96,2026-06-12,4,Call,115.00,+2.51%,4.6,6.7,152,+30.57%,81.60%,0.046417,0.634918,2026-06-08
WBD,26.47,2026-07-17,39,Call,27.00,-2.00%,1.15,1.67,222,+30.43%,46.40%,0.034502,0.488549,2026-06-08
CNC,65.03,2026-06-18,10,Call,58.00,+10.81%,6.95,8.15,227,+30.32%,64.31%,0.02249,0.872308,2026-06-08
UMC,20,2026-07-17,39,Call,25.00,-25.00%,0.6,0.75,328,+30.25%,82.84%,0.020267,0.240103,2026-06-08
GLIBK,20.77,2026-10-16,130,Call,22.50,-8.33%,1.5,4.5,1502,+29.98%,72.40%,0.049356,0.524387,2026-06-08
ESTC,62.14,2026-06-18,10,Call,75.00,-20.70%,0.4,1.4,476,+29.67%,106.96%,0.025674,0.166422,2026-06-08
ZTS,78.82,2026-06-18,10,Call,85.00,-7.84%,0.4,0.65,457,+29.42%,45.83%,0.033004,0.169982,2026-06-08
MLYS,22.5,2028-01-21,592,Put,20.00,-11.11%,4.8,7,601,+29.28%,74.11%,0.092909,-0.262667,2026-06-08
NOG,21.51,2026-07-17,39,Call,23.00,-6.93%,0.45,1.65,232,+29.28%,59.82%,0.02689,0.392949,2026-06-08
CZR,29.32,2026-09-18,102,Call,30.00,-2.32%,0.28,0.45,921,+29.26%,8.53%,0.059809,0.398261,2026-06-08
FOXA,67.44,2026-07-17,39,Put,65.00,-3.62%,1.4,3.4,202,+29.20%,41.07%,0.082432,-0.360695,2026-06-08
NEE,84.01,2026-06-12,4,Call,84.00,+0.01%,1.01,1.17,164,+28.96%,30.85%,0.035064,0.508705,2026-06-08
DUOL,117.96,2026-06-12,4,Call,120.00,-1.73%,2.55,4,541,+28.36%,84.50%,0.048745,0.442295,2026-06-08
CNC,65.03,2026-06-18,10,Call,62.50,+3.89%,3.55,4,119,+28.23%,53.37%,0.037805,0.693124,2026-06-08
GLXY,30.51,2026-06-18,10,Call,31.00,-1.61%,1.76,2.62,125,+27.98%,119.06%,0.020141,0.509061,2026-06-08
DIS,98.87,2026-06-12,4,Call,98.00,+0.88%,1.7,2.22,495,+27.96%,36.03%,0.039955,0.600469,2026-06-08
BROS,56.25,2026-06-12,4,Call,57.00,-1.33%,0.95,1.5,192,+27.75%,66.07%,0.023224,0.439912,2026-06-08
MSFT,411.74,2026-06-12,4,Put,440.00,+6.86%,27.55,29.85,115,+27.59%,41.80%,0.055402,-0.933577,2026-06-08
UNH,406.57,2026-06-12,4,Put,395.00,-2.85%,2,2.51,567,+27.54%,38.70%,0.129424,-0.230638,2026-06-08
ASML,1749.04,2026-06-12,4,Put,"1,550.00",-11.38%,2.25,3.7,178,+27.49%,72.72%,0.193798,-0.051648,2026-06-08
BDX,149.99,2026-06-18,10,Call,155.00,-3.34%,0.75,2.05,726,+27.41%,32.89%,0.084024,0.283401,2026-06-08
RTX,178.66,2026-06-12,4,Call,190.00,-6.35%,0.1,0.31,159,+27.26%,38.41%,0.02404,0.066151,2026-06-08
SKM,39.64,2026-06-18,10,Put,45.00,+13.52%,5.9,6.7,150,+27.06%,102.96%,0.02106,-0.744469,2026-06-08
CNC,65.03,2026-06-12,4,Call,64.00,+1.58%,1.68,2.6,445,+26.98%,57.76%,0.025955,0.618253,2026-06-08
INFY,12.28,2028-01-21,592,Put,13.00,+5.86%,3.4,5.3,225,+26.94%,63.93%,0.054793,-0.356237,2026-06-08
CRWV,102.37,2026-06-12,4,Put,122.00,+19.18%,19.45,21.15,106,+26.92%,129.78%,0.0202,-0.88955,2026-06-08
