Symbol,Price~,"Exp Date",DTE,Type,Strike,Moneyness,Bid,Latest,Ask,Volume,"Open Int",Vol/OI,"Imp Vol",IV,Delta,Time
TGT,123.97,2026-06-12,4,Call,133.00,-7.28%,0.14,0.15,0.16,25958,135,192.28,32.90%,43.20%,0.062712,2026-06-08
BE,253.57,2026-06-26,18,Call,275.00,-8.45%,16.25,17,17.45,22358,145,154.19,109.55%,111.44%,0.421951,2026-06-08
AAPL,301.54,2026-06-10,2,Call,305.00,-1.15%,1.75,1.79,1.8,19121,147,130.07,24.39%,35.66%,0.340047,2026-06-08
MMM,153.85,2026-06-12,4,Call,157.50,-2.37%,0.93,0.99,1.08,9005,101,89.16,31.61%,36.81%,0.279321,2026-06-08
MSTR,127.2,2026-08-21,74,Call,125.00,+1.73%,19.5,20.1,20.55,51847,644,80.51,78.12%,82.06%,0.599628,2026-06-08
GOOGL,363.31,2026-08-21,74,Call,415.00,-14.23%,8.35,8.47,8.6,57846,817,70.8,32.10%,37.25%,0.252184,2026-06-08
CVNA,69.45,2026-06-18,10,Call,67.00,+3.53%,4.6,5,5.1,14017,253,55.4,69.99%,76.60%,0.638533,2026-06-08
AAPL,301.54,2026-06-10,2,Call,307.50,-1.98%,1.05,1.08,1.09,18083,359,50.37,24.39%,35.48%,0.23411,2026-06-08
LMND,52.97,2026-06-12,4,Call,54.00,-1.94%,1.1,1.25,1.45,6247,130,48.05,70.55%,77.62%,0.424052,2026-06-08
CHWY,20.15,2026-06-12,4,Put,18.50,-8.19%,0.45,0.47,0.48,13572,287,47.29,72.10%,136.60%,-0.250964,2026-06-08
TSLA,408.95,2026-06-10,2,Call,380.00,+7.08%,29.1,29.58,29.8,4451,106,41.99,47.51%,62.24%,0.947479,2026-06-08
NUAI,4.91,2026-07-17,39,Put,4.50,-8.35%,0.7,0.71,0.8,5015,132,37.99,157.60%,156.23%,-0.333505,2026-06-08
GOOGL,363.31,2026-06-10,2,Call,365.00,-0.47%,2.81,2.81,3.15,7590,204,37.21,32.10%,34.74%,0.436276,2026-06-08
AAOI,196.64,2026-06-12,4,Call,280.00,-42.39%,0.95,1.05,1.05,8581,234,36.67,147.86%,203.08%,0.060067,2026-06-08
HD,309.71,2026-06-12,4,Call,330.00,-6.55%,0.23,0.29,0.29,7074,204,34.68,31.16%,36.88%,0.052362,2026-06-08
AAPL,301.54,2026-06-10,2,Call,302.50,-0.32%,2.74,2.85,2.85,4602,138,33.35,24.39%,36.20%,0.460733,2026-06-08
GOOGL,363.31,2026-06-10,2,Call,362.50,+0.22%,4.2,4.46,4.45,4499,136,33.08,32.10%,36.12%,0.541339,2026-06-08
TEVA,33.26,2026-06-12,4,Put,33.50,+0.72%,0.7,0.8,0.93,4390,136,32.28,41.32%,49.75%,-0.542772,2026-06-08
NVDA,208.64,2026-07-24,46,Put,180.00,-13.73%,2.52,2.67,2.61,9189,296,31.04,39.98%,43.52%,-0.144592,2026-06-08
AMZN,245.22,2026-06-10,2,Call,247.50,-0.93%,1.5,1.57,1.6,6266,211,29.7,32.29%,34.50%,0.366197,2026-06-08
WULF,25.86,2026-06-12,4,Call,29.00,-12.14%,0.24,0.26,0.26,11152,385,28.97,92.00%,108.55%,0.167997,2026-06-08
TSLA,408.95,2026-06-10,2,Put,410.00,+0.26%,6.5,6.6,6.75,19225,664,28.95,47.51%,50.65%,-0.518117,2026-06-08
DDOG,231.68,2026-06-12,4,Call,210.00,+9.36%,22,22.7,23,5580,197,28.32,61.63%,71.84%,0.911381,2026-06-08
TSLA,408.95,2026-06-10,2,Call,412.50,-0.87%,4.5,4.52,4.65,10613,381,27.86,47.51%,50.75%,0.418378,2026-06-08
TSLA,408.95,2026-06-10,2,Call,407.50,+0.35%,6.8,6.9,7.05,8365,303,27.61,47.51%,50.85%,0.547157,2026-06-08
TSLA,408.95,2026-06-10,2,Call,405.00,+0.97%,8.2,8.25,8.5,22727,835,27.22,47.51%,50.97%,0.610803,2026-06-08
VZLA,3.44,2027-01-15,221,Call,6.00,-74.42%,0.35,0.45,0.65,3125,118,26.48,91.94%,100.92%,0.387206,2026-06-08
TSLA,408.95,2026-06-10,2,Call,375.00,+8.30%,33.9,35,34.8,2931,111,26.41,47.51%,67.49%,0.961115,2026-06-08
MSFT,411.74,2026-06-10,2,Call,415.00,-0.79%,2.74,3,3,4064,156,26.05,30.70%,35.07%,0.387774,2026-06-08
LUNR,29.74,2026-06-12,4,Call,32.50,-9.28%,0.9,1.02,1.09,2888,112,25.79,127.09%,161.08%,0.329711,2026-06-08
LLY,1149.15,2026-06-12,4,Call,"1,300.00",-13.13%,0.4,0.5,0.6,6682,261,25.6,37.59%,56.59%,0.020341,2026-06-08
MSFT,411.74,2026-06-10,2,Call,420.00,-2.01%,1.4,1.45,1.46,4963,197,25.19,30.70%,35.47%,0.230329,2026-06-08
TSLA,408.95,2026-06-10,2,Call,410.00,-0.26%,5.65,5.7,5.75,26184,1067,24.54,47.51%,51.05%,0.482569,2026-06-08
TSLA,408.95,2026-06-12,4,Call,380.00,+7.08%,30.5,30.51,31.05,12142,497,24.43,47.51%,62.52%,0.877137,2026-06-08
MU,949.28,2026-06-12,4,Call,955.00,-0.60%,41.5,41.88,42.7,6606,282,23.43,101.26%,112.56%,0.504481,2026-06-08
TSLA,408.95,2026-06-10,2,Put,407.50,-0.35%,5.3,5.4,5.45,8664,374,23.17,47.51%,50.66%,-0.453083,2026-06-08
GDS,34.69,2026-07-17,39,Call,40.00,-15.31%,1.3,1.3,1.5,10637,463,22.97,60.41%,69.55%,0.310161,2026-06-08
BABA,120.07,2026-06-12,4,Call,121.00,-0.77%,1.44,1.48,1.63,4077,178,22.9,39.70%,38.99%,0.433438,2026-06-08
